student_id,branch,cgpa,percentage,backlogs,aptitude_score,technical_skills,placed
STU1021,Electrical Engineering,8.3,76.0,0,82.6,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1022,Information Technology,7.16,68.7,0,88.7,"C, C++, Embedded Systems, RTOS, Linux",1
STU1023,Electronics & Communication,6.83,64.5,0,62.0,"Java, SQL, HTML, CSS, Problem Solving",1
STU1024,Information Technology,8.41,80.6,5,60.6,"C, C++, Embedded Systems, RTOS, Linux",0
STU1025,Information Technology,7.96,78.4,0,70.5,"Python, SQL, React, Data Structures, Git, Docker",1
STU1026,Artificial Intelligence & Data Science,6.63,62.3,1,62.5,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1027,Electrical Engineering,5.79,50.0,0,72.8,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1028,Information Technology,7.02,65.1,1,65.7,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1029,Artificial Intelligence & Data Science,7.84,72.6,0,87.7,"Java, SQL, HTML, CSS, Problem Solving",1
STU1030,Information Technology,5.29,50.2,0,68.8,"C++, Data Structures, Algorithms, System Design, Linux, Git",0
STU1031,Electronics & Communication,9.95,95.5,1,64.4,"C, C++, Embedded Systems, RTOS, Linux",1
STU1032,Electrical Engineering,7.36,67.6,1,84.0,"Java, SQL, HTML, CSS, Problem Solving",1
STU1033,Information Technology,8.23,76.6,0,87.4,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1034,Computer Science & Engineering,8.05,80.9,0,54.1,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1035,Information Technology,6.78,67.8,1,80.2,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1036,Electrical Engineering,5.69,54.2,1,53.1,"Java, SQL, HTML, CSS, Problem Solving",0
STU1037,Electrical Engineering,7.92,76.5,0,65.7,"Java, SQL, HTML, CSS, Problem Solving",1
STU1038,Electrical Engineering,6.54,61.5,5,79.4,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",0
STU1039,Computer Science & Engineering,6.05,60.2,1,99.0,"Python, SQL, React, Data Structures, Git, Docker",1
STU1040,Electronics & Communication,7.69,74.6,0,50.7,"C, C++, Embedded Systems, RTOS, Linux",1
STU1041,Computer Science & Engineering,5.95,57.8,1,85.0,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1042,Artificial Intelligence & Data Science,7.72,71.9,0,94.1,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1043,Electrical Engineering,7.92,76.7,0,54.6,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1044,Computer Science & Engineering,8.67,80.7,1,81.5,"C, C++, Embedded Systems, RTOS, Linux",1
STU1045,Electrical Engineering,7.85,72.8,1,70.0,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1046,Electronics & Communication,6.42,59.4,0,66.9,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1047,Electrical Engineering,7.78,76.3,1,75.5,"C, C++, Embedded Systems, RTOS, Linux",1
STU1048,Electronics & Communication,7.11,73.0,2,76.8,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1049,Electronics & Communication,6.46,61.5,0,66.1,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1050,Information Technology,7.15,69.4,1,74.6,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",0
STU1051,Computer Science & Engineering,7.32,68.6,0,78.9,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1052,Computer Science & Engineering,6.91,67.4,0,71.0,"Python, Django, PostgreSQL, Git",1
STU1053,Information Technology,6.03,58.5,5,92.7,"C++, Data Structures, Algorithms, System Design, Linux, Git",0
STU1054,Information Technology,7.46,68.6,0,73.0,"C, C++, Embedded Systems, RTOS, Linux",1
STU1055,Artificial Intelligence & Data Science,8.02,74.3,0,87.3,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1056,Electronics & Communication,7.97,76.7,5,75.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1057,Artificial Intelligence & Data Science,9.95,97.2,0,81.8,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1058,Computer Science & Engineering,7.05,68.5,2,57.2,"Python, Django, PostgreSQL, Git",0
STU1059,Electronics & Communication,7.14,67.8,0,60.5,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1060,Information Technology,8.15,74.2,0,61.4,"C, C++, Embedded Systems, RTOS, Linux",1
STU1061,Computer Science & Engineering,8.6,84.8,0,69.8,"Python, SQL, React, Data Structures, Git, Docker",1
STU1062,Information Technology,6.6,63.1,0,68.6,"Python, SQL, React, Data Structures, Git, Docker",1
STU1063,Electronics & Communication,6.68,66.2,0,79.6,"Python, SQL, React, Data Structures, Git, Docker",1
STU1064,Electronics & Communication,5.17,50.0,0,58.7,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1065,Electrical Engineering,8.34,77.7,0,91.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1066,Electrical Engineering,6.88,64.1,0,92.7,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1067,Artificial Intelligence & Data Science,7.85,75.3,0,91.1,"Python, Django, PostgreSQL, Git",1
STU1068,Artificial Intelligence & Data Science,5.73,53.5,0,85.7,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1069,Artificial Intelligence & Data Science,6.62,62.4,0,94.2,"Java, SQL, HTML, CSS, Problem Solving",1
STU1070,Computer Science & Engineering,5.0,50.0,1,64.5,"Python, SQL, React, Data Structures, Git, Docker",0
STU1071,Computer Science & Engineering,6.03,60.4,0,86.5,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1072,Electrical Engineering,8.99,82.5,0,84.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1073,Information Technology,7.41,70.0,0,68.9,"Java, SQL, HTML, CSS, Problem Solving",1
STU1074,Computer Science & Engineering,7.52,72.8,0,90.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1075,Computer Science & Engineering,6.04,58.8,0,69.0,"C, C++, Embedded Systems, RTOS, Linux",1
STU1076,Computer Science & Engineering,7.71,72.0,0,65.1,"C, C++, Embedded Systems, RTOS, Linux",1
STU1077,Artificial Intelligence & Data Science,6.86,63.9,3,63.0,"C++, Data Structures, Algorithms, System Design, Linux, Git",0
STU1078,Artificial Intelligence & Data Science,8.39,80.3,0,79.4,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1079,Artificial Intelligence & Data Science,8.09,78.0,2,58.1,"C++, Data Structures, Algorithms, System Design, Linux, Git",0
STU1080,Electronics & Communication,7.38,70.3,0,85.9,"Java, SQL, HTML, CSS, Problem Solving",1
STU1081,Electronics & Communication,6.75,67.2,2,61.8,"Python, Django, PostgreSQL, Git",0
STU1082,Artificial Intelligence & Data Science,8.84,84.0,0,77.5,"C, C++, Embedded Systems, RTOS, Linux",1
STU1083,Information Technology,7.06,66.5,0,59.4,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1084,Computer Science & Engineering,7.51,72.5,5,56.5,"C, C++, Embedded Systems, RTOS, Linux",0
STU1085,Computer Science & Engineering,9.7,94.6,1,51.2,"Python, SQL, React, Data Structures, Git, Docker",1
STU1086,Electrical Engineering,8.09,78.1,0,67.8,"C, C++, Embedded Systems, RTOS, Linux",1
STU1087,Computer Science & Engineering,6.41,56.7,0,92.8,"C, C++, Embedded Systems, RTOS, Linux",1
STU1088,Electrical Engineering,6.49,61.0,1,73.8,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1089,Artificial Intelligence & Data Science,6.78,63.5,0,70.9,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1090,Information Technology,6.88,65.8,0,47.7,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1091,Electrical Engineering,5.85,54.2,0,87.0,"Python, SQL, React, Data Structures, Git, Docker",0
STU1092,Electrical Engineering,7.74,76.5,0,80.0,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1093,Information Technology,7.22,68.0,0,67.9,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1094,Information Technology,7.75,72.0,0,75.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1095,Electronics & Communication,9.09,83.5,0,56.2,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1096,Computer Science & Engineering,7.65,72.7,0,69.4,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1097,Computer Science & Engineering,6.55,66.8,0,73.7,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1098,Electrical Engineering,9.77,91.3,0,80.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1099,Computer Science & Engineering,7.6,72.0,0,81.7,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1100,Electronics & Communication,6.48,60.4,1,38.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1101,Electronics & Communication,6.82,61.0,0,73.1,"C, C++, Embedded Systems, RTOS, Linux",1
STU1102,Computer Science & Engineering,6.41,61.9,0,49.5,"C, C++, Embedded Systems, RTOS, Linux",0
STU1103,Electronics & Communication,9.41,89.2,0,64.0,"C, C++, Embedded Systems, RTOS, Linux",1
STU1104,Information Technology,5.52,55.1,2,66.4,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1105,Electrical Engineering,8.76,83.0,0,67.2,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1106,Electrical Engineering,7.41,70.5,0,61.7,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1107,Information Technology,8.09,74.1,0,75.5,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1108,Electrical Engineering,5.71,56.8,0,72.7,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",0
STU1109,Computer Science & Engineering,6.58,62.7,0,89.7,"Python, SQL, React, Data Structures, Git, Docker",1
STU1110,Computer Science & Engineering,9.67,95.4,0,64.5,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1111,Electronics & Communication,8.47,83.4,0,80.3,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1112,Electrical Engineering,8.56,77.8,0,51.4,"Python, Django, PostgreSQL, Git",1
STU1113,Computer Science & Engineering,5.16,50.0,0,37.6,"C, C++, Embedded Systems, RTOS, Linux",0
STU1114,Electrical Engineering,9.19,84.5,0,44.2,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1115,Electrical Engineering,7.34,69.7,0,73.6,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1116,Information Technology,5.97,58.1,0,73.1,"Java, SQL, HTML, CSS, Problem Solving",0
STU1117,Computer Science & Engineering,6.37,62.0,0,63.9,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1118,Information Technology,6.32,61.0,2,60.6,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1119,Electrical Engineering,6.53,59.2,0,65.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1120,Electrical Engineering,9.56,90.9,2,58.2,"Java, SQL, HTML, CSS, Problem Solving",0
STU1121,Information Technology,7.64,74.3,1,59.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1122,Computer Science & Engineering,6.82,63.6,3,64.1,"Java, SQL, HTML, CSS, Problem Solving",0
STU1123,Artificial Intelligence & Data Science,5.0,50.0,0,37.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1124,Electronics & Communication,8.03,76.9,1,99.0,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1125,Artificial Intelligence & Data Science,8.63,85.0,0,33.6,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1126,Information Technology,6.57,59.6,1,58.9,"Python, Django, PostgreSQL, Git",1
STU1127,Electronics & Communication,6.21,59.4,0,80.7,"Python, Django, PostgreSQL, Git",1
STU1128,Information Technology,7.39,73.2,0,69.1,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1129,Artificial Intelligence & Data Science,6.45,60.4,0,90.1,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1130,Electronics & Communication,6.44,58.4,0,81.0,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1131,Artificial Intelligence & Data Science,9.5,90.3,0,69.8,"C, C++, Embedded Systems, RTOS, Linux",1
STU1132,Electronics & Communication,6.68,62.5,0,59.7,"C, C++, Embedded Systems, RTOS, Linux",1
STU1133,Electronics & Communication,6.45,56.3,2,77.6,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1134,Computer Science & Engineering,7.14,66.0,0,59.9,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1135,Electronics & Communication,8.23,79.2,0,70.9,"Java, SQL, HTML, CSS, Problem Solving",1
STU1136,Artificial Intelligence & Data Science,5.56,53.9,1,58.7,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1137,Computer Science & Engineering,8.03,76.8,0,30.0,"C, C++, Embedded Systems, RTOS, Linux",1
STU1138,Information Technology,7.69,71.2,0,76.9,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1139,Computer Science & Engineering,5.57,58.5,0,45.4,"Java, SQL, HTML, CSS, Problem Solving",0
STU1140,Information Technology,6.45,60.5,0,82.1,"C, C++, Embedded Systems, RTOS, Linux",1
STU1141,Electronics & Communication,6.77,66.5,0,78.8,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1142,Electronics & Communication,5.0,50.0,0,76.1,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1143,Electronics & Communication,7.18,68.5,0,69.3,"Java, SQL, HTML, CSS, Problem Solving",1
STU1144,Electrical Engineering,7.5,70.9,0,84.3,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1145,Artificial Intelligence & Data Science,7.68,71.8,0,76.2,"Java, SQL, HTML, CSS, Problem Solving",1
STU1146,Electrical Engineering,7.83,73.5,0,72.1,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1147,Electrical Engineering,9.68,91.4,0,81.3,"Java, SQL, HTML, CSS, Problem Solving",1
STU1148,Electronics & Communication,5.16,50.0,1,41.8,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",0
STU1149,Electrical Engineering,7.01,63.4,0,68.2,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1150,Artificial Intelligence & Data Science,8.31,74.5,0,71.3,"Python, Django, PostgreSQL, Git",1
STU1151,Electrical Engineering,8.25,78.7,0,76.0,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1152,Computer Science & Engineering,7.77,73.0,0,76.9,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1153,Electronics & Communication,9.9,93.1,0,73.7,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1154,Electronics & Communication,8.31,77.2,0,69.0,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1155,Information Technology,6.87,64.6,0,79.6,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1156,Artificial Intelligence & Data Science,7.1,65.5,0,61.8,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1157,Artificial Intelligence & Data Science,7.82,76.2,0,81.6,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1158,Information Technology,7.85,78.3,0,57.2,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1159,Artificial Intelligence & Data Science,6.03,57.6,0,79.7,"Java, SQL, HTML, CSS, Problem Solving",1
STU1160,Computer Science & Engineering,8.12,77.0,0,71.9,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1161,Artificial Intelligence & Data Science,6.16,58.1,2,68.7,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1162,Artificial Intelligence & Data Science,7.52,72.9,0,74.7,"C, C++, Embedded Systems, RTOS, Linux",1
STU1163,Computer Science & Engineering,7.65,73.2,0,52.0,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1164,Electrical Engineering,9.15,85.9,0,54.1,"Python, Django, PostgreSQL, Git",1
STU1165,Artificial Intelligence & Data Science,7.26,74.0,5,75.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1166,Artificial Intelligence & Data Science,7.23,67.8,0,53.8,"C, C++, Embedded Systems, RTOS, Linux",1
STU1167,Artificial Intelligence & Data Science,5.58,52.6,1,76.8,"C, C++, Embedded Systems, RTOS, Linux",0
STU1168,Artificial Intelligence & Data Science,7.03,70.1,2,64.4,"Python, Django, PostgreSQL, Git",0
STU1169,Electronics & Communication,5.75,54.6,0,49.5,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1170,Artificial Intelligence & Data Science,7.15,69.3,1,93.9,"C, C++, Embedded Systems, RTOS, Linux",1
STU1171,Artificial Intelligence & Data Science,8.64,80.0,0,75.2,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1172,Information Technology,7.1,65.2,0,99.0,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1173,Electrical Engineering,7.47,69.4,0,77.4,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1174,Information Technology,6.77,63.2,0,67.5,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1175,Information Technology,6.8,67.4,0,30.8,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1176,Electronics & Communication,8.77,79.2,0,63.2,"Java, SQL, HTML, CSS, Problem Solving",1
STU1177,Computer Science & Engineering,6.99,66.1,0,75.4,"Java, SQL, HTML, CSS, Problem Solving",1
STU1178,Artificial Intelligence & Data Science,6.18,62.2,0,81.1,"Java, SQL, HTML, CSS, Problem Solving",1
STU1179,Computer Science & Engineering,8.8,82.2,2,57.8,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1180,Artificial Intelligence & Data Science,6.82,65.8,1,50.9,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1181,Electronics & Communication,8.18,79.3,0,54.8,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1182,Electrical Engineering,7.0,68.8,1,52.9,"Java, SQL, HTML, CSS, Problem Solving",1
STU1183,Electrical Engineering,8.08,73.4,1,92.7,"C, C++, Embedded Systems, RTOS, Linux",1
STU1184,Information Technology,6.83,67.0,2,58.1,"Python, Django, PostgreSQL, Git",0
STU1185,Computer Science & Engineering,5.85,57.1,0,48.2,"Python, Django, PostgreSQL, Git",0
STU1186,Information Technology,5.11,51.9,0,71.0,"Java, SQL, HTML, CSS, Problem Solving",0
STU1187,Electrical Engineering,7.29,71.2,1,67.6,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1188,Electrical Engineering,7.0,66.4,0,72.3,"Java, SQL, HTML, CSS, Problem Solving",1
STU1189,Computer Science & Engineering,5.52,51.2,0,62.1,"Python, SQL, React, Data Structures, Git, Docker",0
STU1190,Artificial Intelligence & Data Science,7.42,71.2,0,60.4,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1191,Artificial Intelligence & Data Science,6.54,58.9,0,75.7,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1192,Electronics & Communication,8.53,82.0,0,71.6,"Python, Django, PostgreSQL, Git",1
STU1193,Electronics & Communication,8.48,78.6,0,75.1,"Java, SQL, HTML, CSS, Problem Solving",1
STU1194,Electronics & Communication,5.38,50.0,1,59.3,"Java, SQL, HTML, CSS, Problem Solving",0
STU1195,Computer Science & Engineering,7.43,69.9,1,70.8,"Python, Django, PostgreSQL, Git",1
STU1196,Electronics & Communication,6.73,61.1,1,55.1,"Python, SQL, React, Data Structures, Git, Docker",1
STU1197,Computer Science & Engineering,5.91,57.3,0,43.4,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",0
STU1198,Information Technology,7.94,75.8,1,56.0,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1199,Information Technology,8.17,78.8,1,46.7,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1200,Computer Science & Engineering,9.95,94.3,0,84.1,"Python, Django, PostgreSQL, Git",1
STU1201,Artificial Intelligence & Data Science,6.63,63.3,0,63.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1202,Information Technology,6.71,67.4,0,77.9,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1203,Information Technology,6.78,62.2,0,81.0,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1204,Computer Science & Engineering,6.6,62.2,3,67.0,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1205,Artificial Intelligence & Data Science,8.08,78.9,2,69.7,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1206,Computer Science & Engineering,8.02,78.4,0,79.7,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1207,Computer Science & Engineering,7.91,72.1,0,67.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",0
STU1208,Electrical Engineering,7.87,75.2,0,71.8,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1209,Computer Science & Engineering,6.0,57.9,1,65.0,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1210,Electronics & Communication,7.36,71.3,0,68.4,"Java, SQL, HTML, CSS, Problem Solving",1
STU1211,Computer Science & Engineering,7.43,67.8,0,75.0,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1212,Computer Science & Engineering,7.64,71.6,1,85.6,"Python, Django, PostgreSQL, Git",1
STU1213,Artificial Intelligence & Data Science,6.42,61.8,0,41.0,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1214,Information Technology,8.54,78.2,0,71.7,"Java, SQL, HTML, CSS, Problem Solving",1
STU1215,Electrical Engineering,8.38,81.0,1,68.7,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1216,Artificial Intelligence & Data Science,6.83,67.7,1,99.0,"C, C++, Embedded Systems, RTOS, Linux",0
STU1217,Electronics & Communication,7.0,63.1,0,43.4,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1218,Computer Science & Engineering,6.94,65.4,0,49.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1219,Information Technology,6.39,56.8,0,51.1,"Python, Django, PostgreSQL, Git",1
STU1220,Electrical Engineering,8.48,80.1,1,67.3,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1221,Computer Science & Engineering,8.14,79.7,0,90.7,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1222,Information Technology,6.7,62.6,0,59.3,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1223,Electronics & Communication,6.79,63.5,0,65.6,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1224,Electronics & Communication,8.96,84.0,0,56.3,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1225,Information Technology,7.92,73.8,0,58.1,"C, C++, Embedded Systems, RTOS, Linux",1
STU1226,Artificial Intelligence & Data Science,9.1,90.0,0,59.4,"Java, SQL, HTML, CSS, Problem Solving",1
STU1227,Artificial Intelligence & Data Science,6.97,67.3,0,83.2,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1228,Artificial Intelligence & Data Science,7.21,66.9,0,48.7,"Python, Django, PostgreSQL, Git",1
STU1229,Electronics & Communication,6.6,61.0,1,67.9,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1230,Electronics & Communication,6.83,65.3,0,67.8,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1231,Artificial Intelligence & Data Science,8.71,85.2,0,72.8,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1232,Artificial Intelligence & Data Science,8.15,81.1,0,76.2,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1233,Electronics & Communication,7.0,68.4,5,73.9,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",0
STU1234,Electronics & Communication,8.3,79.9,0,82.9,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1235,Information Technology,8.69,81.3,0,74.7,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1236,Information Technology,7.22,68.9,0,84.9,"C, C++, Embedded Systems, RTOS, Linux",1
STU1237,Electronics & Communication,6.5,62.6,0,73.6,"Python, Django, PostgreSQL, Git",1
STU1238,Electrical Engineering,7.61,72.4,1,49.0,"C, C++, Embedded Systems, RTOS, Linux",1
STU1239,Information Technology,8.22,81.1,0,71.0,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1240,Information Technology,7.67,76.0,0,66.7,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
